"","mid","sd","alpha","year"
"1",169.528372787771,5.07491973383363,219549.430174814,1995
"2",168.792865988999,4.24741091176295,197037.10396368,1997
"3",180.803530331535,4.89115401474455,107041.945961247,1998
"4",179.823699918578,3.71325745965299,182386.193741841,1999
"5",177.291184183993,4.34524403104644,54057.8425905342,2000
"6",177.60300324673,5.22506946971864,120512.202978737,2001
"7",173.921463766435,5.10599042091878,151379.711578156,2002
"8",170.112259525377,5.6682782656611,316387.553184628,2003
"9",174.239197294209,5.22814781801287,199107.349769203,2004
"10",173.163286428159,6.13662929908953,257915.367566186,2005
"11",177.679934106468,3.61229544341737,227345.614667681,2006
"12",176.049193174929,5.50487163361577,170606.545558648,2007
"13",179.132236924622,4.32879748970517,174478.789246039,2008
"14",178.295923053675,3.7354355526571,177522.702315468,2009
"15",177.202994848611,3.6910271670744,137199.706229398,2010
"16",175.116193221929,4.7561216851157,147530.456077831,2011
"17",178.918112028819,3.69634664581294,126657.502726726,2012
"18",177.224512990247,4.08431874365501,136716.240596876,2013
"19",169.444755248251,4.79174046825246,163439.534065023,2014
"20",174.854797504922,4.84999909686986,146930.776116846,2015
"21",171.558712618697,5.46455787675798,176090.643767541,2016
"22",172.453252922919,4.91747887922977,261174.26021238,2017
"23",175.735365717278,5.32899316463686,161883.690473249,2018
"24",176.486713311003,5.09178586199537,218622.882058969,2019
"25",178.160958827706,5.26122678931234,161465.797715216,2020
"26",177.570584839581,6.80079215091607,125517.675553409,2021
"27",178.521190350169,4.96544338064236,48307.7387941297,2022
